,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Wolf Kosovo 2026,,,,,,,,,,,,,,,,,,,
,,Date ,Quantity  ,Unit ,Price ,Total ,VAT,Total excl. VAT,,,,,,,,,,,,
1,Graduated mixing cup,,,,,,0.18,,,,,,,,,,,,,
1,,46023,39,PC,35.62,1389.34,211.93,1177.41,,,,,,,,,,,,
2,,46024,310,PC,35.62,11043.5,1684.6,9358.9,,,,,,,,,,,,
3,,46025,154,PC,35.62,5486.13,836.87,4649.26,,,,,,,,,,,,
4,,46026,187,PC,35.62,6661.73,1016.2,5645.53,,,,,,,,,,,,
5,,46027,224,PC,35.62,7979.82,1217.26,6762.56,,,,,,,,,,,,
6,,46028,264,PC,35.62,9404.79,1434.63,7970.16,,,,,,,,,,,,
7,,46029,73,PC,35.62,2600.57,396.7,2203.87,,,,,,,,,,,,
8,,46030,127,PC,35.62,4524.27,690.14,3834.13,,,,,,,,,,,,
9,"Sanding discs 150 mm, coarse",,,,,,0.18,,,,,,,,,,,,,
9,,46031,182,PC,120.86,21995.72,3355.28,18640.44,,,,,,,,,,,,
10,,46032,32,PC,120.86,3867.38,589.94,3277.44,,,,,,,,,,,,
11,,46033,27,PC,120.86,3263.1,497.76,2765.34,,,,,,,,,,,,
12,,46034,153,PC,120.86,18490.91,2820.65,15670.26,,,,,,,,,,,,
13,,46035,88,PC,120.86,10635.29,1622.33,9012.96,,,,,,,,,,,,
14,,46036,100,PC,120.86,12085.56,1843.56,10242.0,,,,,,,,,,,,
15,,46037,163,PC,120.86,19699.46,3005.0,16694.46,,,,,,,,,,,,
16,,46038,278,PC,120.86,33597.86,5125.1,28472.76,,,,,,,,,,,,
17,Standard masking tape,,,,,,0.18,,,,,,,,,,,,,
17,,46039,180,PC,17.17,3090.42,471.42,2619.0,,,,,,,,,,,,
18,,46040,207,PC,17.17,3553.98,542.13,3011.85,,,,,,,,,,,,
19,,46041,32,PC,17.17,549.41,83.81,465.6,,,,,,,,,,,,
20,,46042,269,PC,17.17,4618.46,704.51,3913.95,,,,,,,,,,,,
21,,46043,87,PC,17.17,1493.7,227.85,1265.85,,,,,,,,,,,,
22,,46044,46,PC,17.17,789.77,120.47,669.3,,,,,,,,,,,,
23,,46045,106,PC,17.17,1819.91,277.61,1542.3,,,,,,,,,,,,
24,,46046,103,PC,17.17,1768.41,269.76,1498.65,,,,,,,,,,,,
